product_id,product_name,product_price,effective_start_date,effective_end_date,current_ind
582,iPhone,635,2019-10-01,2019-11-30,N
582,iPhone,689,2019-06-01,2019-09-30,N
582,iPhone,649,2019-04-01,2019-05-31,N
582,iPhone,700,1900-01-01,2019-03-31,N
216,LG Dryer,610,2019-06-01,2019-06-30,N
216,LG Dryer,590,2019-10-01,2019-11-30,N
216,LG Dryer,600,2019-07-01,2019-08-31,N
216,LG Dryer,630,1900-01-01,2019-03-31,N
216,LG Dryer,590,2019-04-01,2019-05-31,N
216,LG Dryer,610,2019-09-01,2019-09-30,N
168,20in Monitor,125,2019-04-01,2019-04-30,N
168,20in Monitor,109.99,2019-10-01,2019-11-30,N
168,20in Monitor,140,1900-01-01,2019-03-31,N
168,20in Monitor,130,2019-05-01,2019-09-30,N
614,Google Phone,610,2019-06-01,2019-09-30,N
614,Google Phone,579,2019-10-01,2019-10-31,N
614,Google Phone,599,2019-03-01,2019-05-31,N
614,Google Phone,620,1900-01-01,2019-02-28,N
614,Google Phone,589,2019-11-01,2019-11-30,N
394,Flatscreen TV,279,2019-10-01,2019-11-30,N
394,Flatscreen TV,289,2019-04-01,2019-07-31,N
394,Flatscreen TV,299,2019-08-01,2019-09-30,N
394,Flatscreen TV,320,1900-01-01,2019-03-31,N
826,ThinkPad Laptop,999.99,1900-01-01,2019-02-28,N
826,ThinkPad Laptop,990,2019-06-01,2019-09-30,N
826,ThinkPad Laptop,979,2019-03-01,2019-05-31,N
826,ThinkPad Laptop,959,2019-10-01,2019-10-31,N
826,ThinkPad Laptop,970,2019-11-01,2019-11-30,N
443,27in FHD Monitor,149.99,1900-01-01,2019-02-28,N
443,27in FHD Monitor,139,2019-06-01,2019-09-30,N
443,27in FHD Monitor,120,2019-10-01,2019-11-30,N
443,27in FHD Monitor,129,2019-03-01,2019-05-31,N
277,Wired Headphones,11.99,2019-04-01,2019-05-31,N
277,Wired Headphones,12.99,2019-03-01,2019-03-31,N
277,Wired Headphones,13.99,2019-06-01,2019-07-31,N
277,Wired Headphones,15,1900-01-01,2019-02-28,N
277,Wired Headphones,12.99,2019-10-01,2019-11-30,N
277,Wired Headphones,15,2019-08-01,2019-09-30,N
968,LG Washing Machine,600,1900-01-01,2019-02-28,N
968,LG Washing Machine,550,2019-03-01,2019-11-30,N
422,Macbook Pro Laptop,1800,1900-01-01,2019-03-31,N
422,Macbook Pro Laptop,1699,2019-04-01,2019-05-31,N
422,Macbook Pro Laptop,1699,2019-10-01,2019-10-31,N
422,Macbook Pro Laptop,1750,2019-11-01,2019-11-30,N
422,Macbook Pro Laptop,1800,2019-06-01,2019-09-30,N
715,USB-C Charging Cable,14.99,2019-04-01,2019-04-30,N
715,USB-C Charging Cable,16.99,2019-02-01,2019-02-28,N
715,USB-C Charging Cable,15.99,2019-05-01,2019-05-31,N
715,USB-C Charging Cable,15.99,2019-03-01,2019-03-31,N
715,USB-C Charging Cable,12.99,2019-11-01,2019-11-30,N
715,USB-C Charging Cable,17.99,1900-01-01,2019-01-31,N
715,USB-C Charging Cable,11.95,2019-10-01,2019-10-31,N
715,USB-C Charging Cable,17.99,2019-08-01,2019-09-30,N
715,USB-C Charging Cable,16.99,2019-06-01,2019-07-31,N
406,AA Batteries (4-pack),4.49,2019-05-01,2019-07-31,N
406,AA Batteries (4-pack),4.69,2019-08-01,2019-09-30,N
406,AA Batteries (4-pack),4.69,2019-02-01,2019-02-28,N
406,AA Batteries (4-pack),4.49,2019-10-01,2019-11-30,N
406,AA Batteries (4-pack),4.29,2019-04-01,2019-04-30,N
406,AA Batteries (4-pack),4.49,2019-03-01,2019-03-31,N
406,AA Batteries (4-pack),4.99,1900-01-01,2019-01-31,N
877,27in 4K Gaming Monitor,399.99,2019-06-01,2019-09-30,N
877,27in 4K Gaming Monitor,379.99,2019-10-01,2019-11-30,N
877,27in 4K Gaming Monitor,389.99,2019-03-01,2019-05-31,N
877,27in 4K Gaming Monitor,409.99,1900-01-01,2019-02-28,N
493,34in Ultrawide Monitor,425,2019-11-01,2019-11-30,N
493,34in Ultrawide Monitor,450,1900-01-01,2019-01-31,N
493,34in Ultrawide Monitor,435,2019-06-01,2019-07-31,N
493,34in Ultrawide Monitor,440,2019-08-01,2019-09-30,N
493,34in Ultrawide Monitor,419.99,2019-10-01,2019-10-31,N
493,34in Ultrawide Monitor,430,2019-03-01,2019-03-31,N
493,34in Ultrawide Monitor,440,2019-02-01,2019-02-28,N
493,34in Ultrawide Monitor,420,2019-04-01,2019-04-30,N
493,34in Ultrawide Monitor,430,2019-05-01,2019-05-31,N
692,AAA Batteries (4-pack),2.99,2019-04-01,2019-05-31,N
692,AAA Batteries (4-pack),3.09,2019-03-01,2019-03-31,N
692,AAA Batteries (4-pack),3.29,2019-02-01,2019-02-28,N
692,AAA Batteries (4-pack),3.29,2019-08-01,2019-09-30,N
692,AAA Batteries (4-pack),3.09,2019-06-01,2019-07-31,N
692,AAA Batteries (4-pack),2.99,2019-10-01,2019-11-30,N
